incident_number,cal_year,type_of_incident,cost_gbp,final_description,animal_group_parent,property_category,ward_code,ward,stn_ground_name,easting,northing
D1,2009,Special Service,510,"DOG WITH JAW TRAPPED IN MAGAZINE RACK,B15",Dog,Dwelling,E05011467,Crystal Palace & Upper Norwood,Norbury,532350,170050
F2,2009,Special Service,255,"ASSIST RSPCA WITH FOX TRAPPED,B15",Fox,Outdoor Structure,E05000169,Woodside,Woodside,534750,167550
D3,2009,Special Service,255,"DOG CAUGHT IN DRAIN,B15",Dog,Outdoor Structure,E05000558,Carshalton Central,Wallington,528050,164950
H4,2009,Special Service,255,"HORSE TRAPPED IN LAKE,J17",Horse,Non Residential,E05000330,Harefield,Ruislip,504650,190650
R5,2009,Special Service,255,"RABBIT TRAPPED UNDER SOFA,B15",Rabbit,Dwelling,E05000310,Gooshays,Harold Hill,554650,192350
D7,2009,Special Service,255,"DOG WITH HEAD TRAPPED IN RAILINGS,B15",Dog,Outdoor,E05000591,Cathall,Leytonstone,539050,186150
D8,2009,Special Service,255,"LABRADOR FALLEN THROUGH THE ICE,J15",Dog,Outdoor,E05000515,Wanstead,Leytonstone,541350,186650
S9,2009,Special Service,255,"SQUIRREL TRAPPED ON WINDOWSILL,B15",Squirrel,Dwelling,E05011470,New Addington North,Addington,538750,163350
D10,2009,Special Service,255,"DOG STUCK IN MUD, J15",Dog,Outdoor,E05009380,Lea Bridge,Stoke Newington,535450,186750
C11,2009,Special Service,255,"TO ASSIST RSPCA WITH CAT TRAPPED UP TREE,B15",Cat,Outdoor,E05000115,Cray Valley West,Orpington,546950,169250
B12,2009,Special Service,510,"ASSIST WILDLIFE HOSPITAL WITH INJURED SWAN TRAPPED ON ICE,J15",Bird,Outdoor,E05000620,Queenstown,Clapham,528650,177250
D13,2009,Special Service,255,"DOG TRAPPED IN BOOT OF CAR,B15",Dog,Road Vehicle,E05000535,Camberwell Green,Peckham,532450,176550
D14,2009,Special Service,255,"RUNNING CALL TO DOG WITH HEAD TRAPPED IN KENNEL, B15",Dog,Non Residential,E05000034,Heath,Dagenham,549950,186450
